CARRIE,CARRIE,"Once upon a time, an English journalist came to New York.","Once upon a time, an English journalist came to New York."
CARRIE,CARRIE,Elizabeth was attractive and bright.,Elizabeth was attractive and bright.
CARRIE,CARRIE,Right away she hooked up with one of the city's typically eligible bachelors.,Right away she hooked up with one of the city's typically eligible bachelors.
TIM,TIM,The question remains-Is this really a company we want to own? ,The question remains-Is this really a company we want to own?
CARRIE,CARRIE,"Tim was 42, a well-liked and respected investment banker who made about two million a year.","Tim was 42, a well-liked and respected investment banker who made about two million a year."
CARRIE,CARRIE,"They met one evening, in typical New York fashion at a gallery opening.","They met one evening, in typical New York fashion at a gallery opening."
TIM,TIM,Like it? ,Like it?
TIM,TIM,"Yes, actually. I think it's quite interesting. What?","Yes, actually. I think it's quite interesting. What?"
TIM,TIM, I feel like I know you from somewhere.,I feel like I know you from somewhere.
TIM,TIM,Doubtful. I only just moved here from London.,Doubtful. I only just moved here from London.
TIM,TIM,London? Really? That's my all-time favorite city.,London? Really? That's my all-time favorite city.
TIM,TIM,It is?,It is?
TIM,TIM,Absolutely.,Absolutely.
CARRIE,CARRIE,It was love at first sight.,It was love at first sight.
TIM,TIM,You know I think perhaps I have met you somewhere before.,You know I think perhaps I have met you somewhere before.
CARRIE,CARRIE,For two weeks they snuggled went to romantic restaurants had wonderful sex and shared their most intimate secrets.,For two weeks they snuggled went to romantic restaurants had wonderful sex and shared their most intimate secrets.
CARRIE,CARRIE,One warm spring day he took her to a town house he saw in Sunday's New York Times.,One warm spring day he took her to a town house he saw in Sunday's New York Times.
REALTOR,REALTOR,How 'bout if we start at the top and work our way down? There are four bedrooms upstairs. Do you have any children? ,How 'bout if we start at the top and work our way down? There are four bedrooms upstairs. Do you have any children?
TIM,TIM,Not yet.,Not yet.
CARRIE,CARRIE,"That day, Tim popped the question.","That day, Tim popped the question."
TIM,TIM,How'd you like to have dinner with my folks Tuesday night?,How'd you like to have dinner with my folks Tuesday night?
TIM,TIM,I'd love to.,I'd love to.
CARRIE,CARRIE,"On Tuesday, he called with some bad news.","On Tuesday, he called with some bad news."
TIM,TIM,My mother's not feeling very well.,My mother's not feeling very well.
TIM,TIM,"Well, gosh, I'm sorry.","Well, gosh, I'm sorry."
TIM,TIM, Could we take a rain check?,Could we take a rain check?
TIM,TIM,Of course. Tell your mum I hope she feels better.,Of course. Tell your mum I hope she feels better.
CARRIE,CARRIE,"When she hadn't heard from him for two weeks, she called.","When she hadn't heard from him for two weeks, she called."
TIM,TIM,"Tim, it's Elizabeth. That's an awfully long rain check.","Tim, it's Elizabeth. That's an awfully long rain check."
CARRIE,CARRIE,He said he was up to his ears and that he'd call her the next day.,He said he was up to his ears and that he'd call her the next day.
TIM,TIM,"He never did call, of course. Bastard.","He never did call, of course. Bastard."
CARRIE,CARRIE,she told me one day over coffee.,she told me one day over coffee.
TIM,TIM,I don't understand.,I don't understand.
TIM,TIM,"In England, looking at houses together would have meant something.","In England, looking at houses together would have meant something."
CARRIE,CARRIE,Then I realized no one had told her about the end of love in Manhattan.,Then I realized no one had told her about the end of love in Manhattan.
CARRIE,CARRIE,"Welcome to the age of ""un-innocence.","Welcome to the age of ""un-innocence."
CARRIE,CARRIE,""" No one has breakfast at Tiffany's, and no one has affairs to remember.",""" No one has breakfast at Tiffany's, and no one has affairs to remember."
CARRIE,CARRIE,"Instead, we have breakfast at 7:00 a.m.","Instead, we have breakfast at 7:00 a.m."
CARRIE,CARRIE,and affairs we try to forget as quickly as possible.,and affairs we try to forget as quickly as possible.
CARRIE,CARRIE,Self-protection and closing the deal are paramount.,Self-protection and closing the deal are paramount.
